lieu;titre;adresse;ville;code_postal;code_insee
mediatheque violette leduc;les racontines de violette;18 rue faidherbe;paris;75011;75111
square sarah-bernhardt;bibliotheques hors les murs au square sarah bernhardt;2 rue de buzenval;paris;75020;75120
parc martin luther king;paris sport dimanches : parc martin luther king;147 rue cardinet;paris;75017;75117
la maison des metallos;[fiesta] avec le (non) label la souterraine;94, rue jean-pierre timbaud;paris;75011;75111
le hasard ludique;lalalar release party + biensure;128 avenue de saint-ouen;paris;75018;75118
le hasard ludique;la kauzette;128 avenue de saint-ouen;paris;75018;75118
galerie boris;radomir milovic peintures - galerie boris;3, rue saint philippe du roule;paris;75008;75108
ecole nationale superieure des beaux-arts de paris;structural colors;14, rue bonaparte;paris;75006;75106
fgo-barbara;deki alem en concert a fgo-barbara;1 rue fleury;paris;75018;75118
mediatheque francoise sagan;rencontre -dedicace;8 rue leon schwartzenberg;paris;75010;75110
musee cernuschi - musee des arts de l'asie de la ville de paris;visite-animation origami en famille  lart est dans le pli;7 avenue velasquez;paris;75008;75108
musee carnavalet-histoire de paris;conte pour enfants : les dits de la cite;23 rue de sevigne;paris;75003;75103
gymnase bertrand dauvin;journee handisport;14 rue rene binet;paris;75018;75118
atelier 77;ateliers en duo parent-enfant danse 18 mois-3 ans;77 rue de charonne;paris;75011;75111
non renseigne;kiosques en fete : les espaces verts parisiens s'animent !;non renseigne;non renseigne;75000;
non renseigne;les visites-promenades en lsf;non renseigne;non renseigne;75000;
la cinematheque francaise - musee du cinema;cycle jeunesse stanley donen a la cinematheque francaise;51, rue de bercy;paris;75012;75112
institut d'astrophysique de paris cnrs-su;4e nuit de l'astronomie de l'iap;98bis boulevard arago;paris;75014;75114
institut suedois;art contemporain : rencontre autour du tissage;11 rue payenne;paris;75003;75103
galerie hegoa nomade;"exposition ""the painters project"" by eric ceccarini";80 rue de turenne;paris;75003;75103
parc floral de paris;classique au vert, pour un ete de musique classique au cur du parc floral de paris;route de la pyramide;paris;75012;75112
la ferme de paris;mieux manger a la ferme;1, route du pesage;paris;75012;75112
metro vavin face a la rotonde;balade litteraire : que le temps passe a montparnasse !;bd du montparnasse;paris;75014;75114
jardin21;open air : apero electronique;12/a rue ella fitzgerald;paris;75019;75119
jardin21;le marche vintage digger.club revient au jardin21;12/a rue ella fitzgerald;paris;75019;75119
ateliers beaux-arts marc bloch (20e);portes ouvertes des ateliers beaux-arts;5 place marc bloch;paris;75020;75120
petit bain;kishi bashi 151a 10th anniversary tour;7 port de la gare;paris;75013;75113
la petite halle;le grigri aux platines #5 !;211 avenue jean jaures;paris;75019;75119
supersonic records;korine en showcase au supersonic records;9 rue biscornet;paris;75012;75112
theatre dunois;pleine lune;7, rue louise weiss;paris;75013;75113
parc de la villette;freestyle a la villette;prairie du cercle nord;paris;75019;75119
mediatheque helene berr;table ronde : linclusivite dans le monde de la nuit;70 rue de picpus;paris;75012;75112
3615 croisiere;3615 croisiere - saison 3 - vol 6;2 quai saint-bernard;paris;75005;75105
institut des cultures d'islam (ici);visite guidee de lexposition  silsila, le voyage des regards ;56 rue stephenson;paris;75018;75118
institut des cultures d'islam;atelier enfants : jardiniers en herbe;19, rue leon;paris;75018;75118
le point fort;chico trujillo  le point fort;174 avenue jean jaures;aubervilliers;93300;93001
philharmonie de paris;orchestre des amateurs de la philharmonie de paris;221 avenue jean jaures;paris;75019;75119
philharmonie de paris;cesar franck;221 avenue jean jaures;paris;75019;75119
centre paris anim' victor gelez;trimestre des fiertes au centre victor gelez;1-3 rue victor gelez;paris;75011;75111
le baiser sale;la jan du lundi animee speciale john scofield;58 rue des lombards;paris;75001;75101
l'institut du monde arabe;musee;1 rue des fosses-saint-bernard;paris;75005;75105
supersonic;instant lake  alice gift  sarakiniko;9 rue biscornet;paris;75012;75112
le baiser sale;jam session speciale moonchild;58 rue des lombards;paris;75001;75101
bibliotheque saint-eloi;de nos bouches a vos oreilles;23 rue du colonel rozanoff;paris;75012;75112
fgo-barbara;heartless bastards en concert a fgo-barbara;1 rue fleury;paris;75018;75118
cours de dessin nathalie avril;stage de dessin a paris;24 rue leon frot;paris;75011;75111
mediatheque jean-pierre melville;acces accompagne a l'informatique et au numerique;79 rue nationale;paris;75013;75113
le 360 paris music factory;duo tournier-llerena;32 rue myrha;paris;75018;75118
le baiser sale;concert : jam session speciale salif keita animee par nora kamm #placeauxjeunes;58 rue des lombards;paris;75001;75101
bibliotheque l'heure joyeuse;atelier | l'art du kamishibai;6-12 rue des pretres saint-severin;paris;75005;75105
le point ephemere;animal triste;200 quai de valmy;paris;75010;75110
