ID;titre;chapeau;mots_cles;type_prix;date_debut;date_fin;nb_occurrences;acces_PMR;acces_mal_voyant;acces_mal_entendant;lieu;url;code_insee
14616;armide de christoph willibald gluck;dans une syrie de croisades et de legendes, la reine armide interpretee par veronique gens tombe amoureuse de renaud, son prisonnier. lune des plus grandes heroines du repertoire, revient salle favart, entre combats et enchantements, sublimes par lilo baur et christophe rousset.;musique;payant;2022-06-05;2022-06-06;;1;1;1;opera comique;https://www.paris.fr/evenements/armide-de-christoph-willibald-gluck-14616;75102
15562;les p'tits baudets;non renseigne;musique;payant;2022-06-05;2022-06-06;;1;0;0;les trois baudets;https://www.paris.fr/evenements/les-p-tits-baudets-15562;75118
11577;les samedis jeux de societe;une fois par mois, les bibliothecaires s'installent dans la ludobulle (notre nouvelle salle de jeux) pour animer un atelier jeux de societe pour les enfants et/ou adolescents.;loisirs;gratuit;2022-06-05;2022-06-06;18;1;0;0;bibliotheque andree chedid;https://www.paris.fr/evenements/les-samedis-jeux-de-societe-11577;75115
16074;rendez-vous musical #77;le rendez-vous musical devient mensuel et aura desormais lieu le premier dimanche de chaque mois (sauf le 1 mai, qui sera reporte au 8 mai).;musique;gratuit;2022-06-05;2022-06-06;;1;0;0;fondation des etats-unis;https://www.paris.fr/evenements/rendez-vous-musical-77-16074;75114
14885;atelier de conversation;vous etes apprenants de la langue francaises et vous souhaitez ameliorer votre pratique orale, alors venez discuter dans une ambiance detendue tous les 3e jeudis du mois.;atelier;gratuit;2022-06-05;2022-06-06;10;1;0;0;bibliotheque aime cesaire;https://www.paris.fr/evenements/atelier-de-conversation-14885;75114
16679;essayez le massage shiatsu;deuxieme medecine au japon, le massage shiatsu que je pratique est une technique corporelle basee sur la medecine traditionnelle chinoise.;non renseigne;payant;2022-06-05;2022-06-06;;0;0;0;cabinet;https://www.paris.fr/evenements/essayez-le-massage-shiatsu-16679;75103
16761;low island en concert au supersonic (free entry);"welcome to supersonic
concerts gratuits, nuits rock et disquaire a paris !";musique;gratuit;2022-06-05;2022-06-06;2;0;0;0;supersonic;https://www.paris.fr/evenements/low-island-en-concert-au-supersonic-free-entry-16761;75112
16789;exposition institut du monde arabe;"algerie mon amour
artistes de la fraternite algerienne 1953-2021
 algerie mon amour  met en lumiere une collection exceptionnelle, unique dans le monde occidental, dart moderne et contemporain dalgerie et des diasporas";peinture;non renseigne;2022-06-05;2022-06-06;;1;1;1;l'institut du monde arabe;https://www.paris.fr/evenements/exposition-institut-du-monde-arabe-16789;75105
16983;les grands airs dopera pour soprano;la soliste lyrique erminie blondel et le quatuor a cordes helios vous invitent a assister aux grands airs dopera pour soprano : l'ouverture des noces de figaro de mozart, casta diva in norma de bellini... et bien d'autres.;musique;payant;2022-06-05;2022-06-06;2;0;0;0;eglise de la madeleine;https://www.paris.fr/evenements/les-grands-airs-d-opera-pour-soprano-16983;75108
16970;les 4 saisons de vivaldi, ave maria et celebres concertos;l'orchestre helios vous invite a assister au concert : les 4 saisons de vivaldi, ave maria et celebres concertos. retrouvez la magie de la musique classique a travers ce concert reunissant les uvres les plus celebres du repertoire.;musique;payant;2022-06-05;2022-06-06;6;0;0;0;eglise saint germain des pres;https://www.paris.fr/evenements/les-4-saisons-de-vivaldi-ave-maria-et-celebres-concertos-16970;75106
17603;waly dia en equipe dans le cadre du festival d'humour de paris;"cest la premiere fois que le fup offre une carte blanche a waly dia !

on est tres heureux de lui laisser la scene de bobino le temps dune soiree. il sera entoure pour loccasion de ses amis humoristes pour un plateau inedit.";humour;payant;2022-06-05;2022-06-06;2;0;0;0;theatre bobino;https://www.paris.fr/evenements/waly-dia-en-equipe-dans-le-cadre-du-festival-d-humour-de-paris-17603;75114
17683;visites du palais en langue des signes francaise;des visites guidees du monument en langue des signes francaise (lsf) sont regulierement proposees, accessibles aux personnes sourdes et malentendantes.;non renseigne;payant;2022-06-05;2022-06-06;4;1;0;1;palais de la porte doree;https://www.paris.fr/evenements/visites-du-palais-en-langue-des-signes-francaise-17683;75112
17849;thierry vaton/stephane castry/jean-philippe fanfant;"trois improvisateurs hors pairs, trois experts du jazz caribeen joueront les compos de chacun. 
de mizikopeyi a bass therapy, le jeu sannonce costaud et lambiance surchauffee... !";musique;payant;2022-06-05;2022-06-06;2;0;0;0;le baiser sale;https://www.paris.fr/evenements/thierry-vaton-stephane-castry-jean-philippe-fanfant-17849;75101
17950;bal litteraire a la bibliotheque andree chedid;"vous aimez la litterature et danser ? nous aussi !
ca tombe bien, on vous invite a notre grand bal litteraire de l'ete.";danse;gratuit;2022-06-05;2022-06-06;2;1;0;0;bibliotheque andree chedid;https://www.paris.fr/evenements/bal-litteraire-a-la-bibliotheque-andree-chedid-17950;75115
18048;le rendez-vous des histoires (de 1 a 3 ans);les bibliothecaires d'amelie invitent les tout-petits a ecouter des histoires ! programmation d'avril a juin.;enfants;gratuit;2022-06-05;2022-06-06;12;1;0;0;bibliotheque amelie;https://www.paris.fr/evenements/le-rendez-vous-des-histoires-de-1-a-3-ans-18048;75107
18117;"""et toi tu te poses ou ?""";une exposition du photographe michael mosset qui part a la rencontre des jeunes habitants de la chapelle, en collaboration avec la radio raptz et le centre social torcy.;expo;gratuit;2022-06-05;2022-06-06;;1;0;0;bibliotheque vaclav havel;https://www.paris.fr/evenements/et-toi-tu-te-poses-ou-18117;75118
